episode,seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,10000,35ace65,v1_n2000,1,1,1,success,57,20.849706885697177,23.67418772325257,7.876749381079386,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,42,0,0.7368421052631579,0.34650213620974163,-0.49272847459079877,0.4666878438611253,0.02606150019228324,0.03402245796081144,0.06883726493069942,1.7120645961350336,1.1097483906769772,0.3194329216251005,0.2651480908148421,0.9651617991336686,1.0226663909637435,0.9894097406532532,285.4185115692992
1,10001,35ace65,v1_n2000,1,1,1,success,58,8.111345381824638,8.359109195307962,6.20741486015219,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,50,0,0.8620689655172413,0.36433257808453184,-0.37749666945190546,-1.0148296085048982,0.022380771670345353,0.030048680423544666,0.11926055357156669,1.5848112116268025,0.7596027481016826,0.3327271934073074,0.33978190337530917,1.0030593569454231,1.0351830968973859,1.2141767058202135,286.0898817391927
2,10002,35ace65,v1_n2000,1,1,1,success,68,4.478967100248876,13.285381208407815,6.720648372642242,61,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,51,0,0.75,0.35716673094864143,-0.5899916176647074,0.31051653589388195,0.026786700858515266,0.03328727632500454,0.06381292925654256,1.7423066962920157,0.8136680137316841,0.30073072122250893,0.5319689741382219,0.9875484962401017,1.10017860733879,0.9060650466384069,287.0317065021041
3,10003,35ace65,v1_n2000,1,1,1,success,55,13.628646181467477,13.398592272995195,8.19979423915777,50,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,44,0,0.8,0.36193456790843387,-0.31665040627234015,3.1294196865011132,0.022645355149495516,0.03346643845896945,0.04963379978759941,1.2961168832267056,1.2267706348243808,0.3221393438358416,0.48557448746656573,1.067374225825383,1.1228845242944299,0.9132262352760283,284.1213175852468
4,10004,35ace65,v1_n2000,1,1,1,success,63,13.68985988397778,28.413358037655566,31.380836683168162,55,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,51,0,0.8095238095238095,0.37554623838424356,-0.5608707300304765,-0.2539994731586632,0.022119808904799327,0.033565111518183935,0.07951617591907278,1.375982436884838,0.9271810813153938,0.3326868599049136,0.339831398853679,1.016764677820612,0.9891622443944467,0.8895716051960915,287.56207204059655
5,10005,35ace65,v1_n2000,1,1,1,success,60,24.440844194199805,50.94544950085143,28.660323133651268,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,45,0,0.75,0.3190150848124592,-0.5461305710478462,2.990276313540086,0.023189532976082845,0.03641315602064107,0.10720293965999607,1.4554165633897775,0.7088857625597678,0.3661223819112738,0.4599886707784889,1.026668211270987,0.8898392042478321,0.9485661851198433,274.9376428929302
6,10006,35ace65,v1_n2000,1,1,1,success,61,25.36351751214399,50.73690096885341,18.98074302485657,50,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,54,0,0.8852459016393442,0.31256222959199026,-0.3288763908915468,-0.5478255727962629,0.02199750531777666,0.03495041369827978,0.06964300620057373,1.950910915550707,0.7799621585790727,0.3665914439984991,0.42386881746346,0.99349677369045,1.1110992659032497,1.1506458475631707,282.4579878672462
7,10007,35ace65,v1_n2000,1,1,1,success,71,14.66847833934024,11.03821464731718,4.018924094646807,65,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,48,0,0.676056338028169,0.3740972484679659,-0.7008813566278723,-0.7141752512816559,0.025845966905091625,0.032085664210961394,0.03202874808915681,1.5684357906228228,1.0091631041844344,0.37153997358795054,0.41039826441843696,0.9091088730827211,1.0443350020436912,1.2386227860427668,291.26532042647534
8,10008,35ace65,v1_n2000,1,1,0,success,70,18.93767462767281,53.35507267357208,32.0591764895783,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,59,0,0.8428571428571429,0.3518753770578074,-0.4769654263546926,0.8520480934281047,0.024233957237345335,0.03242840784449996,0.07109149610912678,1.0427321006432626,0.9363347233231514,0.37740567663385827,0.6918092658334551,1.0958217876814655,1.041096932498062,0.945617705165698,275.16650934096344
9,10009,35ace65,v1_n2000,1,1,1,success,55,30.718749358134836,38.38932996113638,11.745836712158571,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,47,0,0.8545454545454545,0.34701057551234377,-0.4157367513435309,0.6517915318356415,0.02359430359908683,0.03702366773720943,0.031709411292078,1.061901949164674,1.2863539938571071,0.3393627027520553,0.595956712595834,0.9995582191277929,1.017157931990154,1.0308019909529644,286.6597640256004
